Key,Dialogue,Context
Prefix_0,"It's Cave, Prime. From Earth One...",
Prefix_1,Cave Johnson here...,
Prefix_2,"Hey, It's Cave...",
Prefix_3,"Cave here, Chariots...",
Prefix_4,It's Cave...,
Prefix_5,"Cave again...,
Prefix_6,"Woah, Chariots Chariots...",
Prefix_7,(Heavenly Noises) Cave Johnson here...,
,,
AcknowledgeGeneric_0,Copy that.,
AcknowledgeGeneric_1,Roger.,
AcknowledgeGeneric_2,10-4.,
AcknowledgeGeneric_3,Roger that.,
AcknowledgeGeneric_4,Copy.,
AcknowledgeGeneric_5,"Copy that, entry team.",
AcknowledgeGeneric_6,"Roger, entry team.",
AcknowledgeGeneric_7,"10-4, entry team.",
AcknowledgeGeneric_8,"Roger that, entry team.",
AcknowledgeGeneric_9,"Copy, entry team.",
AcknowledgeGeneric_10,TOC copies all.,
AcknowledgeGeneric_11,Acknowledged.,
AcknowledgeGeneric_12,Copy that.,
AcknowledgeGeneric_13,Roger.,
AcknowledgeGeneric_14,10-4.,
AcknowledgeGeneric_15,Roger that.,
AcknowledgeGeneric_16,Copy.,
AcknowledgeGeneric_17,"Copy that, entry team.",
AcknowledgeGeneric_18,"Roger, entry team.",
AcknowledgeGeneric_19,"10-4, entry team.",
AcknowledgeGeneric_20,"Roger that, entry team.",
AcknowledgeGeneric_21,"Copy, entry team.",
AcknowledgeGeneric_22,TOC copies all.,
AcknowledgeGeneric_23,Acknowledged.,
,,
StartGeneric_0,"You're here because you followed the Hobo signs, So! Who's ready to scrounge around for some science?",
StartGeneric_1,"Break 1-9, Big Box Cave Johnson here, hauling a freight shaker with a load of cold ones in the wagon down to Texarkana. Got 28 hours to get this done so I'm puttin' the hammer down.",
StartGeneric_2,"Welcome to your first test, I'm your overseer: Cave Johnson.",
StartGeneric_3,Move in.,
StartGeneric_4,Complete your objectives.,
StartGeneric_5,You are good to go.,
StartGeneric_6,We're good to go.,
StartGeneric_7,Proceed with mission.,
StartGeneric_8,We have the greenlight.,
StartGeneric_9,You have the greenlight. ,
StartGeneric_10,You are clear for entry.,
StartGeneric_11,Go when ready.,
StartGeneric_12,You are clear to proceed.,
StartGeneric_13,Move in and be careful.,
StartGeneric_14,Move in.,
StartGeneric_15,Complete your objectives.,
StartGeneric_16,You are good to go.,
StartGeneric_17,We're good to go.,
StartGeneric_18,Proceed with mission.,
StartGeneric_19,We have the greenlight.,
StartGeneric_20,You have the greenlight. ,
StartGeneric_21,You are clear for entry.,
,,
Arrest_0,Shake the bushes and give me your 10-20.,
Arrest_1,"(Tap Tap) Hey, You, Chariots Chariots Keep testing.",
Arrest_2,Notifying trailers.,
Arrest_3,Trailers incoming.,
Arrest_4,Great work. Keep going.,
Arrest_5,Move on.,
Arrest_6,Great work entry team. Keep it up.,
Arrest_7,"Roger, trailers inbound.",
Arrest_8,Excellent work. Don't stop now.,
Arrest_9,Beauty. Keep 'em coming.,
Arrest_10,Continue with objectives.,
Arrest_11,Keep going.,
Arrest_12,Proceed with mission.,
Arrest_13,Continue mission.,
Arrest_14,We're ready for 'em.,
Arrest_15,We're ready.,
Arrest_16,Trailers ready.,
Arrest_17,Trailers are ready.,
Arrest_18,Send 'em.,
Arrest_19,Send 'em our way.,
Arrest_20,Trailers on the way.,
Arrest_21,Trailers en-route.,
Arrest_22,Trailers inbound.,
Arrest_23,Trailers standing by.,
Arrest_24,Trailers notified.,
Arrest_25,Trailers incoming. Proceed with caution.,
Arrest_26,Trailers en-route.,
Arrest_27,Notifying trailers.,
Arrest_28,Trailers incoming.,
Arrest_29,Great work. Keep going.,
Arrest_30,Move on.,
Arrest_31,Great work entry team. Keep it up.,
Arrest_32,"Roger, trailers inbound.",
Arrest_33,Excellent work. Don't stop now.,
Arrest_34,Beauty. Keep 'em coming.,
Arrest_35,Continue with objectives.,
Arrest_36,Keep going.,
Arrest_37,Proceed with mission.,
Arrest_38,Continue mission.,
Arrest_39,We're ready for 'em.,
Arrest_40,We're ready.,
Arrest_41,Trailers ready.,
Arrest_42,Trailers are ready.,
Arrest_43,Send 'em.,
Arrest_44,Send 'em our way.,
Arrest_45,Trailers on the way.,
Arrest_46,Trailers en-route.,
Arrest_47,Trailers inbound.,
Arrest_48,Trailers standing by.,
Arrest_49,Trailers notified.,
,,
Incap_0,EMTs and trailers are standing by.,
Incap_1,Clean house and we'll take them out.,
Incap_2,Medical assistance is standing by.,
Incap_3,Make them stable and proceed with mission.,
Incap_4,Stabilize them and we'll send EMTs.,
Incap_5,Notifying TEMS.,
Incap_6,TEMS notified.,
Incap_7,EMTs and trailers are standing by.,
Incap_8,Clean house and we'll take them out.,
Incap_9,Medical assistance is standing by.,
Incap_10,Make them stable and proceed with mission.,
Incap_11,Stabilize them and we'll send EMTs.,
Incap_12,Notifying TEMS.,
Incap_13,TEMS notified.,
,,
Death_0,Notifying morgue.,
Death_1,Tag 'em and keep moving.,
Death_2,Proceed with mission.,
Death_3,Continue with your mission.,
Death_4,Proceed with your mission.,
Death_5,Notifying trailers.,
Death_6,Notifying medical.,
Death_7,Proceed with mission,
Death_8,Notifying TEMS.,
Death_9,TEMS notified.,
Death_10,You are clear to proceed.,
Death_11,Coroner standing by.,
Death_12,Notifying morgue.,
Death_13,Tag 'em and keep moving.,
Death_14,Proceed with mission.,
Death_15,Continue with your mission.,
Death_16,Proceed with your mission.,
Death_17,Notifying trailers.,
Death_18,Notifying medical.,
Death_19,Proceed with mission,
Death_20,Notifying TEMS.,
Death_21,TEMS notified.,
Death_22,You are clear to proceed.,
Death_23,Coroner standing by.,
,,
Hostage_0,"Be advised, the suspects are holding civilians hostage.",
Hostage_1,The suspects have taken hostages.,
Hostage_2,The suspects have taken civilians prisoner.,
Hostage_4,Civilians have been taken hostage.,
Hostage_6,"Be advised, the suspects are holding civilians hostage.",
Hostage_7,The suspects have taken hostages.,
Hostage_8,The suspects have taken civilians prisoner.,
Hostage_10,Civilians have been taken hostage.,
,,
Hostage_3,Civilians are present.,
Hostage_5,"Be careful, there's civilians in there.",
Hostage_9,Civilians are present.,
Hostage_11,"Be careful, there's civilians in there.",
,,
HostageKilled_0,Hostage has been executed. Move quickly.,
HostageKilled_1,"We've just heard that a hostage has been killed. Hurry, entry team.",
HostageKilled_2,"Hostage is down, I repeat, hostage is down.",
HostageKilled_3,Hostage killed. Pick it up.,
HostageKilled_4,"We just lost a hostage, pick up the pace. ",
HostageKilled_5,A hostage has just been executed.,
HostageKilled_6,They just killed a hostage.,
HostageKilled_7,"Move quickly, a hostage was just executed.",
HostageKilled_8,They're killing hostages. Move!,
HostageKilled_9,We've just lost a hostage!,
,,
Evidence_0,Forensics is standing by.,
Evidence_1,Collect what you can and keep moving.,
Evidence_2,Confirming evidence secured.,
Evidence_3,Secure the area and we'll send forensics in.,
Evidence_4,Secure it and keep going.,
Evidence_5,Forensics notified.,
Evidence_6,Forensics is standing by.,
Evidence_7,Collect what you can and keep moving.,
Evidence_8,Confirming evidence secured.,
Evidence_9,Secure the area and we'll send forensics in.,
Evidence_10,Secure it and keep going.,
Evidence_11,Forensics notified.,
,,
EvidenceDisturb_0,Forensics is standing by.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_1,Collect what you can and keep moving.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_2,Confirming evidence secured.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_3,Secure the area and we'll send forensics in.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_4,Secure it and keep going.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_5,Forensics notified.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_6,Forensics is standing by.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_7,Collect what you can and keep moving.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_8,Confirming evidence secured.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_9,Secure the area and we'll send forensics in.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_10,Secure it and keep going.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
EvidenceDisturb_11,Forensics notified.,"(These lines sound more disturbed, as in TOC is slightly audibly shaken by the evidence reported)"
,,
CompleteGood_0,"Congratulations! The simple fact that you're standing here listening to me means you've made a glorious contribution to science.",
CompleteGood_1,"Nicely done, entry team. Roll in.",
CompleteGood_2,Put 'em on safe and let 'em hang. Great job.,
CompleteGood_3,"Excellent work, entry team. Report to center for debrief.",
CompleteGood_4,"Great job, entry team. Come home for debrief.",
CompleteGood_5,"Great work, entry team. That's a wrap.",
CompleteGood_6,"Good job everyone, roll in.",
CompleteGood_7,"Score one for the good guys. Good work, everyone.",
CompleteGood_8,"That's how we get it done, folks. Roll in for debrief.",
CompleteGood_9,"Nice work entry team, first round's on me tonight.",
CompleteGood_10,"Nicely done, entry team. Roll in.",
CompleteGood_11,Put 'em on safe and let 'em hang. Great job.,
CompleteGood_12,"Excellent work, entry team. Report to center for debrief.",
CompleteGood_13,"Great job, entry team. Come home for debrief.",
CompleteGood_14,"Great work, entry team. That's a wrap.",
CompleteGood_15,"Good job everyone, roll in.",
CompleteGood_16,"Score one for the good guys. Good work, everyone.",
CompleteGood_17,"That's how we get it done, folks. Roll in for debrief.",
,,
CompleteNeutral_0,"Anyways, the good news is: we're ready to start phase 2, figuring out a way to bring you back.",(TOC is neutral with the team's performance)
CompleteNeutral_1,"Head on over to debrief everyone, mission is complete.",(TOC is neutral with the team's performance)
CompleteNeutral_2,"Mission complete, report to center. That's a wrap.",(TOC is neutral with the team's performance)
CompleteNeutral_3,Situation is under control. Mission complete.,(TOC is neutral with the team's performance)
CompleteNeutral_4,Situation is defused. Report to center for debrief.,(TOC is neutral with the team's performance)
CompleteNeutral_5,Situation cleared. Roll in.,(TOC is neutral with the team's performance)
CompleteNeutral_6,That's it for today. Lets head home.,(TOC is neutral with the team's performance)
CompleteNeutral_7,Mission cleared. Report to center.,(TOC is neutral with the team's performance)
CompleteNeutral_8,"Time for debrief, folks. Mission complete.",(TOC is neutral with the team's performance)
CompleteNeutral_9,Mission is complete. ,(TOC is neutral with the team's performance)
CompleteNeutral_10,"Situation is defused, no further threats.",(TOC is neutral with the team's performance)
CompleteNeutral_11,"Mission is complete, threat is defused.",(TOC is neutral with the team's performance)
,,
CompleteBad_0,"Yes, You. Box your stuff. Out the front door. Parking Lot. Car. Goodbye.",(TOC is unhappy with the team's performance)
CompleteBad_1,"Find your alternate self, steal his stuff, put it in a box, and if theres a parking lot, walk the box out to it because YOU'RE FIRED.",(TOC is unhappy with the team's performance)
CompleteBad_2,Might I remind you that how you perform in the field reflects on the entire force. Think about that in debrief today. Roll in.,(TOC is unhappy with the team's performance)
CompleteBad_3,This can't be the example we're setting for the rest of the force from now on. That's a wrap.,(TOC is unhappy with the team's performance)
CompleteBad_4,Mission complete... Though it seemed more like sheer luck today than training. ,(TOC is unhappy with the team's performance)
CompleteBad_5,"Situation is under control, but frankly today's performance was an embarrassment. Report to center for debrief.",(TOC is unhappy with the team's performance)
CompleteBad_6,To say that this mission was a goatfuck is an understatement. The situation is under control by some miracle. Roll in for debrief.,(TOC is unhappy with the team's performance)
CompleteBad_7,"Situation is defused... With that said, there are no words for the display put on by this team today. Absolutely abysmal. ",(TOC is unhappy with the team's performance)
CompleteBad_8,"The media's gunna have a field day with today's performance. Mission complete, make sure you cover your faces on the ride home.",(TOC is unhappy with the team's performance)
CompleteBad_9,"Today's performance was nothing short of terrible. It almost feels wrong to say mission complete, but here we are. Roll in.",(TOC is unhappy with the team's performance)
CompleteBad_10,"If any of you thought today went well, we'll need to schedule a visit with Doc. Situation defused, head to debrief.",(TOC is unhappy with the team's performance)
CompleteBad_11,"We're on thin ice with the public as is. Today won't help that. Get yourselves to debrief, mission is complete.",(TOC is unhappy with the team's performance)
,,
Failed_0,"Mission failed, entry team, head home.",
Failed_1,"Objective failed, entry team. Fall back and await further instructions.",
Failed_2,Objective failed. Fall back and await the arrival of federal units.,
Failed_3,Mission failed. Federal units en-route to assume command.,
Failed_4,Objective failed. Federal's coming to take over.,
Failed_5,Mission failed. The feds are on their way.,
Failed_6,Bad news. We've been ordered to pull back.,
Failed_7,Bad news. We're pulling out. Feds are coming in to take over.,
Failed_8,"You've failed your objective. Collect what you can, report to TOC for debrief.",
Failed_9,Mission objective failed. Roll in.,
Failed_10,Objectives failed - this one's a wash. Report to TOC for debrief.,
Failed_11,Mission failed. We no longer have control of the situation. Fall back.,
Failed_12,"It's over, entry team. Feds are taking over.",
Failed_13,"It's over, entry team. Roll in.",
,,
ROEViolate_0,"Hah! I like you're style. You make up your own rules, just like me.",
ROEViolate_1,"Meow. Meow Meow Meow Meow, Meow. Meow Meow Meow Meow Meow. Meow.",
ROEViolate_2,(Cave and Dark Cave Laughing),
ROEViolate_3,"You are being actively monitored, remember your ROE!",
ROEViolate_4,"You are being actively monitored, remember your use of force!",
ROEViolate_5,You're endangering this operation. Watch yourselves.,
ROEViolate_6,"Stand down, we can't afford mistakes like that!",
ROEViolate_7,"These actions reflect on our entire force, think before engaging!",
ROEViolate_8,We're not looking for body bags. Maintain your ROE.,
ROEViolate_9,We're not looking for body bags. Maintain use of force.,
ROEViolate_10,Act within your ROE!,
ROEViolate_11,"There are lives on the line, watch it!",
ROEViolate_12,Exercise some restraint!,
ROEViolate_13,"You're professionals, start acting like it!",
ROEViolate_14,Don't agitate the situation further!,
ROEViolate_15,"This is a delicate situation, be careful!",
ROEViolate_16,"Entry team, stop violating your ROE!",
ROEViolate_17,Stand down!,
ROEViolate_18,Watch it!,
ROEViolate_19,"There's no room for bravado like that, stand down!",
ROEViolate_20,Hold your fire!,
ROEViolate_21,"We have rules outlined for a reason, act within them!",
ROEViolate_22,Watch your use of force!,
ROEViolate_23,We have a use of force model for a reason!,
ROEViolate_24,"Stand down, repeat, stand down!",
ROEViolate_25,Watch your fire!,
,,
Backup_0,Additional units on scene.,
Backup_1,Backup has arrived.,
Backup_2,Backup is on scene.,
Backup_3,Additional operators now on scene.,
Backup_4,Additional units standing by.,
Backup_5,Backup standing by.,
Backup_6,Additional units on scene.,
Backup_7,Backup has arrived.,
Backup_8,Backup is on scene.,
Backup_9,Additional operators now on scene.,
Backup_10,Additional units standing by.,
Backup_11,Backup standing by.,
,,
BarricadedSuspectsStart_0,"Suspects have taken refuge in the area and are refusing to cooperate. Move in, remember your ROE, and secure the area.",
BarricadedSuspectsStart_1,"Suspects have a foothold in this area, and they're refusing to cooperate. Entry team, you are go to move and clear.",
BarricadedSuspectsStart_2,"Negotiations have failed and suspects have dug in. Entry team, go when ready.",
BarricadedSuspectsStart_3,The suspects are refusing to come out or negotiate. You are clear to move in.,
BarricadedSuspectsStart_4,"Suspects have taken refuge in the area and are refusing to cooperate. Move in, remember your ROE, and secure the area.",
BarricadedSuspectsStart_5,"Suspects have a foothold in this area, and they're refusing to cooperate. Entry team, you are go to move and clear.",
BarricadedSuspectsStart_6,"Negotiations have failed and suspects have dug in. Entry team, go when ready.",
BarricadedSuspectsStart_7,The suspects are refusing to come out or negotiate. You are clear to move in.,
BarricadedSuspectsStart_8,"Suspects have taken refuge in the area and are refusing to cooperate. Move in, remember your use of force, and secure the area.",
BarricadedSuspectsStart_9,"Suspects have taken refuge in the area and are refusing to cooperate. Move in, remember your use of force, and secure the area.",
,,
RaidStart_0,The allegorical threat level on this one is through the roof.,
RaidStart_1,"Chariots Chariots Chariots, Dark Cave here listen: you find the Money-verse, you bring it to me, I'll take care of you.",
RaidStart_2,"Remember, Money-verse, Dark Cave, Asparagus, Lots of it, 'nuf said.",
RaidStart_3,Suspects are refusing to negotiate. You are clear to move in.,
RaidStart_4,Negotiations have fallen apart. Move to secure the premises. Suspects are highly volatile.,
RaidStart_5,Our negotiator has just lost contact with the suspects. They are angry and volatile. You are go for entry.,
RaidStart_6,We no longer have control of negotiations. You are cleared to move and secure the premises.,
RaidStart_7,Suspects are refusing to negotiate. You are clear to move in.,
,,
ActiveShooterStart_0,Status of the active shooter threat is currently unknown. Move in and secure the area quickly.,
ActiveShooterStart_1,Negotiations have failed with the active shooter. Make entry and clear the area.,
ActiveShooterStart_2,There may be one or multiple active shooters on site. Move quickly and clear the area.,
ActiveShooterStart_3,The active shooters aren't willing to cooperate. Move in.,
ActiveShooterStart_4,Status of the active shooter threat is currently unknown. Move in and secure the area quickly.,
ActiveShooterStart_5,Negotiations have failed with the active shooter. Make entry and clear the area.,
ActiveShooterStart_6,There may be one or multiple active shooters on site. Move quickly and clear the area.,
ActiveShooterStart_7,The active shooters aren't willing to cooperate. Move in.,
,,
TrapStart_0,Exercise extreme caution - suspects are barricaded and may have planted traps across the premises. Watch your step.,
TrapStart_1,Suspects have dug in and may have planted traps. Move with extreme caution. ,
TrapStart_2,"Negotiations have failed. Suspects are well barricaded and have possibly set traps. Stay alert. Move in, remember your use of force, and secure the area.",
TrapStart_3,"Our negotiator has lost contact with the suspects, and we believe they have set traps. Make entry, exercise extreme caution.",
TrapStart_4,"We have lost contact with the suspects, and have reason to believe they may have placed multiple traps throughout the premises. Exercise extreme caution.",
TrapStart_5,We have reason to believe suspects have planted traps on site and will remain uncooperative. Secure the area and stay alert.,
TrapStart_6,"Suspects are no longer cooperating, and they may have planted traps on the premises. Move with extreme caution. ",
TrapStart_7,"Suspects are heavily barricaded may have planted traps in multiple areas on site. Make entry, exercise extreme caution.",
,,
BombThreatStart_0,We've evacuated the block and EOD are standing by. Proceed to the bomb sites and disarm them.,
BombThreatStart_1,The area is highly volatile. Defuse the bombs and apprehend anyone on site.,
BombThreatStart_2,Bomb threat in the area is confirmed. Move in.,
BombThreatStart_3,We're on limited time. Disable the bombs and detain anyone in the area.,
BombThreatStart_4,We've evacuated the block and EOD are standing by. Proceed to the bomb sites and disarm them.,
BombThreatStart_5,The area is highly volatile. Defuse the bombs and apprehend anyone on site.,
BombThreatStart_6,Bomb threat in the area is confirmed. Move in.,
BombThreatStart_7,We're on limited time. Disable the bombs and detain anyone in the area.,
,,
BombThreatDisarm_0,EOD will move in once the mission is completed. Proceed.,
BombThreatDisarm_1,"EOD notified, continue with your mission.",
BombThreatDisarm_2,That's one down. Keep going.,
BombThreatDisarm_3,Confirming bomb is disabled. Notifying EOD.,
BombThreatDisarm_4,EOD will move in once the mission is completed. Proceed.,
BombThreatDisarm_5,"EOD notified, continue with your mission.",
BombThreatDisarm_6,That's one down. Keep going.,
BombThreatDisarm_7,Confirming bomb is disabled. Notifying EOD.,
,,
BombThreatHurry_0,"Either way if you don't find those things pretty soon I'm going to have to call Triple-A",
BombThreatHurry_1,"Bomb timer is approaching 0 - hurry, entry team.",
BombThreatHurry_2,"Clock is ticking, entry team. Find that bomb.",
BombThreatHurry_3,"Lead, we are running out of time. Locate any remaining bombs and disable them.",
BombThreatHurry_4,"Entry team, your time is running short. Hurry and disable any remaining bombs.",
BombThreatHurry_5,"Bomb timer is approaching 0 - hurry, entry team.",
BombThreatHurry_6,"Clock is ticking, entry team. Find that bomb.",
BombThreatHurry_7,"Lead, we are running out of time. Locate any remaining bombs and disable them.",
,,
BombThreatSuccess_0,"Area safe from bomb threat - great work, entry team.",
BombThreatSuccess_1,That's all bombs disabled - great job.,
BombThreatSuccess_2,"No more bombs, we're good.",
BombThreatSuccess_3,"Nice work, entry team. That's all of 'em.",
BombThreatSuccess_4,"All bombs rendered safe. Good work, entry team.",
BombThreatSuccess_5,"Area safe from bomb threat - great work, entry team.",
BombThreatSuccess_6,That's all bombs disabled - great job.,
BombThreatSuccess_7,"No more bombs, we're good.",
BombThreatSuccess_8,"Nice work, entry team. That's all of 'em.",
BombThreatSuccess_9,"All bombs rendered safe. Good work, entry team.",
,,
HostageRescueStart_0,"Hello Test Subject, As you are no doubt aware, the president is being held hostage inside the giant superprison on the floor of the Atlantic Ocean. That's where you come in.",
HostageRescueStart_1,The hostages are nearby. Suspects are armed and have made it clear they'll kill them if provoked. Proceed with extreme caution.,
HostageRescueStart_2,Suspects are refusing to release hostages. You are clear to move in.,
HostageRescueStart_3,Suspects have taken civilians hostage and are threatening to kill them. Go when ready.,
HostageRescueStart_4,You're cleared to proceed to the hostages. Exercise extreme caution.,
HostageRescueStart_5,The hostages are nearby. Suspects are armed and have made it clear they'll kill them if provoked. Proceed with extreme caution.,
HostageRescueStart_6,Suspects are refusing to release hostages. You are clear to move in.,
HostageRescueStart_7,Suspects have taken civilians hostage and are threatening to kill them. Go when ready.,
,,
TOCPort_0,"Uhh...copy that, entry team. EMTs and trailers are-",
TOCPort_1,"Entry team, you are clear to proceed with the mission.",
,,
MiscStoryOfficerDown_0,Downed officer en-route to hospital. In fair-to-critical condition.,
MiscStoryOfficerDown_1,Downed officer is being treated by EMTs on-site.,
MiscStoryOfficerDown_2,Downed officer is outbound to the hospital. In critical condition.,
MiscStoryOfficerDown_3,"Wounded officer is with EMTs, condition looking critical.",
MiscStoryOfficerDown_4,Wounded officer being transported to hospital.,
,,
MiscStoryChildSafe_0,Child safe from premises.,
MiscStoryChildSafe_1,Child escorted off site.,
MiscStoryChildSafe_2,Child is secure and en-route to medical.,
MiscStoryChildSafe_3,Child evacuated from the scene.,
MiscStoryChildSafe_4,Child secure and being moved off-site.,
,,
MiscStoryCivilianSafe_0,Civilian is secure and in debrief.,
MiscStoryCivilianSafe_1,Civilian is cleared and in debrief.,
MiscStoryCivilianSafe_2,Civilian safe and moved off-site.,
MiscStoryCivilianSafe_3,Civilian evacuated. Nice work.,
MiscStoryCivilianSafe_4,Civilian off-site and in our hands.,
,,
MiscStorySuspectSafe_0,Suspect is in custody.,
MiscStorySuspectSafe_1,Suspect is being taken into custody. Excellent work.,
MiscStorySuspectSafe_2,Suspect is en-route to Central.,
MiscStorySuspectSafe_3,Suspect apprehended. Great job.,
MiscStorySuspectSafe_4,Suspect is being taken off-scene.,
,,
MiscStoryGoldRogue_0,Team lead has gone rogue. Defend yourselves!,
MiscStoryGoldRogue_1,Your leader is now acting in bad faith. Maintain defensive positions!,
MiscStoryGoldRogue_2,Use of force is authorized against your team lead. Move!,
MiscStoryGoldRogue_3,We no longer trust that your lead is acting is good faith. Use of force against them is authorized.,
MiscStoryGoldRogue_4,"Defend yourselves, element. Team lead is an active threat!",
,,
HostageRescueTrapsStart_0,"The situation is highly volatile - we have a number of hostages, and suspects may have planted traps in the area. Proceed with caution.",
HostageRescueTrapsStart_1,There are a number of hostages and suspects may have planted traps. Exercise extreme caution.,
HostageRescueTrapsStart_2,"We're just hearing that along with the current hostage situation, traps may be present. Be careful - proceed with your mission.",
HostageRescueTrapsStart_3,Move slowly - hostages and traps present. Proceed with extreme caution.,
HostageRescueTrapsStart_4,Move carefully... The hostages may be surrounded by traps. Exercise extreme caution.,
,,
TrapsGenericStart_0,Traps have been placed in the area. Be careful.,
TrapsGenericStart_1,Exercise caution... There may be traps.,
TrapsGenericStart_2,"Move carefully, traps may be present.",
TrapsGenericStart_3,Check those doors... Traps may have been placed.,
TrapsGenericStart_4,"Move cautiously, suspects may have placed traps.",
,,
EvidenceDrug_0,"Confirming narcotics secured, forensics notified.",
EvidenceDrug_1,We'll have the narcotics collected shortly. Move on.,
EvidenceDrug_2,"Forensics notified, substance will be collected shortly.",
EvidenceDrug_3,We'll have the substance collected shortly. Keep going.,
EvidenceDrug_4,"Confirming substance secured, forensics notified.",
,,
EvidenceWeapon_0,"Confirming weapons secured, forensics notified.",
EvidenceWeapon_1,We'll have those weapons collected shortly. Keep going.,
EvidenceWeapon_2,"Confirming firearms secured, forensics notified.",
EvidenceWeapon_3,"Forensics notified, weapons will be collected shortly.",
EvidenceWeapon_4,"Forensics notified, firearms will be collected shortly.",
,,
EvidenceDevice_0,"Confirming devices are secured, forensics notified.",
EvidenceDevice_1,"Forensics notified, devices will be collected shortly. Move on.",
EvidenceDevice_2,"Devices will be collected shortly, forensics notified",
EvidenceDevice_3,We'll have those devices collected shortly. Keep it going.,
EvidenceDevice_4,"We'll have the devices collected shortly, forensics notified.",
,,
ReportChild_0,"We'll make sure the child is safe, secure the area and continue.",
ReportChild_1,Secure the area - we'll make sure the child is safe.,
ReportChild_2,"Keep that child safe, secure the area. Move.",
ReportChild_3,"We'll get that child out of there shortly, secure the area.",
ReportChild_4,Confirming child secure - we'll evacuate them shortly. Move.,
,,
ReportOfficer_0,"Confirming officer down, they'll be evacuated shortly. Move.",
ReportOfficer_1,"Secure the area, we'll evacuate the officer as soon as possible. TEMS standing by.",
ReportOfficer_2,TEMS standing by - secure the area and we'll evacuate the officer.,
ReportOfficer_3,We'll have the officer evacuated as soon as the area is secure. Keep moving.,
ReportOfficer_4,TEMS standing by for the officer. Move.,
,,
ActiveShooterTrapsStart_0,Status of the active shooter threat is currently unknown. Move in and secure the area quickly. Traps have been placed in the area. Be careful.,
ActiveShooterTrapsStart_1,Negotiations have failed with the active shooter. Make entry and clear the area. Exercise caution... There may be traps.,
ActiveShooterTrapsStart_2,"There may be one or multiple active shooters on site. Move quickly and clear the area. Move carefully, traps may be present.",
ActiveShooterTrapsStart_3,The active shooters aren't willing to cooperate. Move in. Check those doors... Traps may have been placed.,
ActiveShooterTrapsStart_4,"Status of the active shooter threat is currently unknown. Move in and secure the area quickly. Move cautiously, suspects may have placed traps.",
,,
Interact_Tower_Laptop_B_0,"Judge, this is TOC, do you read? Suspects have been blocking and hijacking our comms, and we're still trying to get around it. We can barely override them long enough to hold. Can you confirm the visual on the IED? Is there anything indicating frequencies or signals?",
Interact_Tower_Laptop_B_1,"Roger that ‘D' Platoon. Command may be able to scramble the signal remotely, without disrupting the ‘safe' signal protocol. Can you extract anything we can use?",
Interact_Tower_Laptop_B_2,"Receiving the data... Data confirmed. We can inject a spoofed frequency remotely to disrupt their control, but if the device doesn't display its ‘safe' signal, it means the IED will default to detonation mode. Eyes sharp then. Once activated, you'll only have a small window of time to neutralise the suspect with the detonator and disarm the bomb.",
Interact_Tower_Laptop_B_3,"Not long, the protocol limit is short, might only buy you two minutes, three at most. Make it count. Your mission objective is now updated: secure the detonator and dis-.",
